Modulbezeichnung: ,engl. Modulbezeichnung: ,ggf. Modulniveau: ,Kürzel: ,ggf. Untertitel: ,ggf. Lehrveranstaltungen: ,Studiensemester: ,Semesterlage: ,Modulverantwortliche(r):  ,Dozent(in): ,Sprache: ,Zuordnung zum Curriculum:  ,Lehrform / SWS:  ,Arbeitsaufwand:  ,Kreditpunkte: ,Empfohlene Voraussetzungen: ,Angestrebte Lernergebnisse:  ,Inhalt:  ,Studien-/ Prüfungsleistungen: ,Medienformen: ,Literatur: 
Grundlagen des Industriedesigns ,Introduction to Distributed Sensor Data Fusion , , , , ,B.Sc. ab 4. Semester ,Wintersemester ,Prof. U. Gabbert ,Dr. Christian Rössl ,deutsch ,FIN: M.Sc. DKE - Data Processing for Data Science ,Vorlesung; Übung ,Notenskala gemäß Prüfungsordnung , ,"Vorlesung „Sichere Systeme“ oder gleichgelagerte LV, eine ","Grundlagen in den Theoriefeldern Anatomie, Physiologie sowie ", ,Regelmäßige Teilnahme an den Vorlesungen und Übungen; , , 
Grundlagen semantischer Technologien ,Fundamental Algorithms and Data Structures , , , , ,B.Sc. ab 4. Semester ,Wintersemester ,Professur für Visual Computing ,"Professur für Praktische Informatik / Bildverarbeitung, ",deutsch ,FIN: M.Sc. DKE (alt) - Bereich Methods II ,Vorlesung; Übung , ,5 ,Vorlesung zu den Grundlagen der Mustererkennung (Pattern ,Sport- und Leistungsmedizin ausgerichtet. Die Studierenden , ,Lösen der Übungsaufgaben und erfolgreiche Präsentationen in , , 
Grundlagen verteilter Sensordatenfusion ,Basic Introduction to Computational Geometry , ,HTID , , ,B.Sc. ab 3. Semester ,--- ,Professur für Wirtschaftsinformatik I ,Bildverste-hen ,englisch ,FIN: M.Sc. INF - Bereich Informatik ,Vorlesung; Übung , , ,recognition) ,erwerben Grundkenntnisse zur Struktur und Funktion der , ,den Übungen; schriftliche oder mündliche Prüfung , , 
Grundlegende Algorithmen und Datenstrukturen ,Hardware-related computer architecture , , , , ,B.Sc. ab 3. Semester ,Sommersemester ,"Professur für Praktische Informatik / Bildverarbeitung, ","Professur für Hochfrequenz- und Kommunikationstechnik, ",deutsch ,FIN: M.Sc. INGINF - Bereich Informatik ,Vorlesung; Übung ,Präsenzzeiten: ,Voraussetzungen nach , ,Organsysteme unter Be-rücksichtigung der Belastung und ,In der Lehrveranstaltung werden spezielle Themen , , , 
Grundzüge der Algorithmischen Geometrie ,"Hardware-related computer architecture for CV, BIT ", ,HoFet I , , ,B.Sc. ab 3. Semester; M.Sc. ab 1. Semester , ,Bildverstehen ,Professur für Technische Informatik ,deutsch ,FIN: M.Sc. VC - Computer Science ,Vorlesung; Übung; Praktikum ,14 Vorlesungen im SoSe (wöchentlich) ,Prüfungsordnung: , ,Beanspruchung bei körperlicher Aktivität. Zur planmäßigen und ,beispielsweise aus der aktuellen Forschung auf dem Gebiet der , , ,Seite 44   Inhaltsverzeichnis 
Hardwarenahe Rechnerarchitektur ,HealthTEC Innovation Design , , , , ,M.Sc. ab 1. Semester ,Sommersemester ,Prof. Dr. Till Mossakowski ,Prof. Dr. Till Mossakowski/Prof. Dr. Stefan Schirra ,deutsch ,FIN: M.Sc. WIF - Bereich Informatik ,Vorlesung; Übung; Praktikum ,7 Übungen (14-tägig) , , ,"kontrollierten Gestaltung von Be-wegung, Spiel und Sport in den ",Bildverarbeitung behandelt. Dabei handelt es sich u. a. um die ,Mündliche Prüfung , ,     
"Hardwarenahe Rechnerarchitektur für CV, BIT ",Heterogeneous Computing , , , , ,B.Sc. ab 5. Semester , ,FIN: Lehrstuhl Computational Intelligence ,Prof. Dr. Till Mossakowski/Prof. Dr. Stefan Schirra/ ,deutsch , ,Vorlesung ,Selbständiges Bearbeiten von Übungs-/Programmieraufgaben ,4 ,„Algorithmen und Datenstrukturen„ ,"verschiedenen Handlungsfeldern (Freizeitsport, Leistungssport, ","Schwerpunkte Bildkorrektur, 3D- Vermessung, ", ,"Powerpoint, Tafel, Video, Filmvorführung ", 
HealthTEC Innovation Design ,Hochtechnologische Fertigungstechnik , ,HLI , , ,M.Sc. ab 1. Semester , ,"Enrico Gebert, Prof. Dr. Holger Theisel ",Prof. Dr. Stefan Schirra ,deutsch , ,Vorlesung; Übung ,am Computer , ,"„Grundlagen der theoretischen Informatik”, ",Gesundheits- und Rehabilitations-sport und Sport für Menschen ,"Bildsequenzverarbeitung, Gesichtsanalyse, Informationsfusion, ", , ,"Pahl / Beitz: Konstruktionslehre, Springer Verlag "
Heterogeneous Computing ,Psychoacoustics , , , , ,M.Sc. ab 1. Semester ,Wintersemester ,Prof. Dr.-Ing. habil Stefan Schlechtweg ,"HD Dipl.Designer, Dipl.-Ing. Thomas Gatzky ",deutsch ,FIN: M.Sc. CV - Bereich Informatik ,Vorlesung ,180h = 42h Präsenzzeit + 138h selbstständige Arbeit ,Voraussetzungen nach ,„Sichere Systeme“ ,mit Behinderungen) wird Basiswissen aus den Bereichen der ,"neuronale Netze, biologische und medizinische Anwendungen. ", , , 
Hochtechnologische Fertigungstechnik ,Human Factors , ,IE , , ,B.Sc. ab 4. Semester; M.Sc. ab 1. Semester ,Sommersemester ,Prof. Dr. Stefan Schlechtweg-Dorendorf ,Dr. Fabian Neuhaus ,deutsch ,FIN: M.Sc. DIGIENG - Methoden der Informatik ,Vorlesung; Seminar , ,Prüfungsordnung: ,Praktikum/Seminar zu Themen der Sicherheit ,Biomechanik und funktionellen Anatomie sowie ,Im ersten Teil erfolgt dabei innerhalb von Gruppen die ,Teilnahme an Vorlesungen und Übungen , , 
Hörakustik ,Human-Learner Interaction , , , , ,M.Sc. ab 1. Semester ,Sommersemester ,Professur f. Theoretische Informatik / Algorithmische Geometrie ,Prof. Dr. Benjamin Noack ,deutsch ,FIN: M.Sc. DKE - Learning Methods & Models for Data Science ,Vorlesung; Übung , , , ,Leistungsphysiologie vermittelt. ,"Vobereitung eines Vortrags über ein spezielles Thema, welcher ",Klausur (90 min) , , 
Human Factors ,Hybride Discrete Event Systems , ,ISP , , ,B.Sc. ab 3. Semester ,Wintersemester ,Lehrstuhl Angewandte Informatik / Wirtschaftsinformatik II ,Prof. Dr. Stefan Schirra ,deutsch ,FIN: M.Sc. DKE (alt) - Bereich Models ,Vorlesung; Seminar; Projekt ,Lecture + team project (4SWS) ,12 , , ,anschließend vor den Seminarteilnehmern gehalten wird. Im , , , 
Human-Learner Interaction ,Idea Engineering , ,3D Scanning , , ,B.Sc. ab 3. Semester , ,(Arbeitsgruppe KMD) ,Prof. Dr. Stefan Schirra ,englisch ,FIN: M.Sc. INF - Bereich Informatik ,Vorlesung; Übung ,for Bachelor students: 150h (56h contact hours + 94h self-study) ,Voraussetzungen nach , , , , , , 
Hybride Discrete Event Systems ,Immunologie , ,ID-Modul 3 , , ,B.Sc. ab 5. Semester; M.Sc. ab 1. Semester , ,Jun.-Prof. Dr. Christian Lessig ,Professur für Technische Informatik ,deutsch ,FIN: M.Sc. INGINF - Bereich Informatik ,Vorlesung; Übung; Projekt ,for Master students: 180h (56h contact ours + 124h self-study)  ,Prüfungsordnung: , ,Lernziele & zu erwerbende Kompetenzen: , ,bestandenes Kolloquium , , 
Idea Engineering ,Implementation Techniques for Software Product Lines , , , , ,M.Sc. ab 1. Semester ,Sommersemester ,Dipl.-Ing. Brennecke; FMB-IAF ,Professur für Technische Informatik ,deutsch ,FIN: M.Sc. WIF - Bereich Informatik ,Vorlesung; Praktikum , ,Für den erfolgreichen Abschluss des Moduls ist der Nachweis , ,Die Studierenden sollen ihr Wissen auf dem Gebiet der ,Seite 43   Inhaltsverzeichnis , , ,Seite 46   Inhaltsverzeichnis 
Immunologie ,Industrial 3D Scanning – Theory and Best-practises , ,IR , , ,B.Sc. ab 5. Semester; M.Sc. ab 1. Semester ,Wintersemester ,"Professur für Praktische Informatik / Bildverarbeitung, ",Prof. Dr. Michael Friebe ,englisch , ,Vorlesung; Übung , ,"von 180 CP aus dem Kern-, Pflicht- und Wahlpflichtbereich ","wünschenswert CAD, VRML-Programmierung ",Angewandten Bildverarbeitung mittels vorgegebener oder evtl. ,     , , ,     
Implementierungstechniken für Software-Produktlinien ,Industriedesign-Designprojekt , , , , ,B.Sc. ab 1. Semester ,Sommersemester ,Bildverstehen ,Prof. Dr.-Ing. Thilo Pionteck (FEIT-IIKT) ,deutsch , ,Vorlesung; Übung ,Präsenzzeit: ,sowie 18 CP aus Praxiszeit notwendig. , ,auch selbst gewählter Spezialthemen vertiefen und praktisch , ,bestandenes Kolloquium ,"Powerpoint, Video, Tafel ", 
Industrial 3D Scanning – Theory and Best-practises ,Informatik vermitteln - Entwicklung und Umsetzung , ,ITO , , ,B.Sc. ab 3. Semester; M.Sc. ab 1. Semester ,Wintersemester ,"FNW, Frau Prof. K. Braun, Prof. Stork ","Prof. Dr.-Ing. Irmhild Martinek, Dr.-Ing. Manuela Zinke, Prof. Dr.-",deutsch ,FIN: M.Sc. DIGIENG - Methoden des Digital Engineering ,Übung ,2 SWS Vorlesung , , ,anwenden ,zweiten Teil erfolgt eine praktische softwaremäßige Umsetzung , , , 
Industriedesign-Designprojekt ,medienpädagogischer Projekte , , , , ,B.Sc. ab 3. Semester; M.Sc. ab 1. Semester ,Sommersemester ,Dr. Christian Rössl ,"Ing. habil. Bernhard Karpuschewski, apl. Prof. Dr.-Ing. habil. Dr.-",deutsch ,FIN: M.Sc. DIGIENG - Methoden der Informatik ,Seminar; Projekt ,2 SWS Übung ,12 ,CAx-Grundlagen oder gleichwertige Vorlesung , ,spezieller Probleme der Bildverarbeitung. Dies dient auch der , , , 
Informatik vermitteln - Entwicklung und Umsetzung ,Information Retrieval , ,IMCloud 1 , , ,B.Sc. ab 3. Semester ,Wintersemester ,"Professur für Praktische Informatik / Bildverarbeitung, ",Ing.E.h. Rüdiger Bähr ,deutsch ,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,Vorlesung; Übung ,Selbständiges Arbeiten: , , ,Lernziele und zu erwerbende Kompetenzen ,Vertiefung der Programmierkenntnisse. ,Unbenotete Leistung auf der Basis eines Projektberichts , , 
medienpädagogischer Projekte ,Informations- und Codierungstheorie , ,IMCloud 2 , , ,B.Sc. ab 4. Semester; M.Sc. ab 1. Semester ,Wintersemester ,Bildverste-hen ,"Prof. Dr. Jesko L. Verhey, FME weitere Lehrende: Prof. H. ",deutsch ,FIN: M.Sc. DKE - Applied Data Science ,Vorlesung; Übung ,Bearbeiten von Übungs- und Programmieraufgaben ,Voraussetzungen nach , ,"Vertiefung und Anwendung der Konstruktionsmethodik, ", , ,"Folien, Video, Tafel, Beispielprogramme ", 
Information Retrieval ,Information Technology in Organizations , ,IMCloud 3 , , ,B.Sc. ab 5. Semester; M.Sc. ab 1. Semester ,Sommersemester ,"Professur für Hochfrequenz- und Kommunikationstechnik, ",Rotten-gruber ,deutsch ,FIN: M.Sc. DKE (alt) - Bereich Applications ,Vorlesung; Übung ,180 h = 56 h Präsenzzeit + 124 h selbständige Arbeit ,Prüfungsordnung: ,Ingenieurinformatik II oder gleichwertige Vorlesung ,Ausbau der Fähigkeiten des Anwendens des methodischen ,Das Ziel dieses Pflichtfaches ist die Vermittlung vertiefender , , , 
Informations- und Codierungstheorie ,Information Visualization , , , , ,M.Sc. ab 1. Semester , ,Professur für Technische Informatik ,"Brennecke, Deml ",deutsch ,FIN: M.Sc. INF - Bereich Informatik ,Vorlesung; Übung , ,Für den erfolgreichen Abschluss des Moduls ist der Nachweis , ,"Entwerfens, der Grundregeln der Gestaltung, der ",Kenntnisse zu speziellen konstruktiven Sachverhalten. In den , , , 
Informationstechnologie in Organisationen ,In-Memory and Cloud-Technologies 1 , ,IPE 1 , , ,B.Sc. ab 5. Semester; M.Sc. ab 1. Semester ,Wintersemester ,Professur für Theoretische Informatik / Formale Sprachen / ,Dr. Georg Krempl ,deutsch ,FIN: M.Sc. INGINF - Bereich Informatik ,Seminar ,Präsenzzeiten: ,"von 180 CP aus dem Kern-, Pflicht- und Wahlpflichtbereich ", ,"Gestaltungsprinzipien und –richtlinien, ",Übungen sowie durch den anzufertigen Beleg werden die ,"Prüfung in schriftlicher Form, Umfang: 120 Minuten, benötigte ", ,Seite 48   Inhaltsverzeichnis 
Informationsvisualisierung ,In-Memory und Cloud-Technologies 2 , ,IDA , , ,B.Sc. ab 1. Semester , ,"Auto-matentheorie, Professur für Theoretische Informatik / ",Prof. Dr.-Ing. Rolf Findeisen (FEIT-IFAT) / Dr.-Ing. Jürgen Ihlow ,deutsch , ,Vorlesung ,• Wöchentliche Vorlesungen 2 SWS ,sowie 18 CP aus Praxisphasen notwendig , ,Erwerben von Führungs- und Teamarbeitsgemeinschaften durch ,Vorlesungsinhalte angewendet und vertieft. Dies geschieht mit ,Vorleistungen: , ,     
In-Memory und Cloud-Technologien 1 ,In-Memory und Cloud-Technologies 3 , ,IS , , ,B.Sc. ab 3. Semester ,Wintersemester ,Algorithmi-sche Geometrie ,(FEIT-IFAT) ,deutsch , ,Übung; Projekt ,Selbständiges Arbeiten: , , ,"die Bearbeitung von Aufgaben und des Beleges im Team, ",Hilfe konstruktiver Aufgabenstellungen aus der Praxis. Weiterhin ,Bearbeitung von zwei Drittel der Übungsaufgaben , , 
In-Memory und Cloud-Technologien 2 ,Innovative testing technology , ,WTM , , ,B.Sc. ab 2. Semester; M.Sc. ab 1. Semester , ,Professur für Theoretische Informatik / Formale Sprachen / ,Graham Horton ,englisch ,FIN: B.Sc. CV - WPF Computervisualistik ,Vorlesung; Übung ,• Vortrag vorbereiten/halten ,18 , ,Anwenden von Kenntnissen und Erfahrungen aus anderen ,werden Kenntnisse zur Arbeit in einem Entwicklerteam ,Erfolgreiche Präsentation in den Übungen , , 
In-Memory und Cloud-Technologien 3 ,Integrated Product Development 1 , , , , ,B.Sc. ab 5. Semester ,Sommersemester ,"Automatentheorie, Professur für Theoretische Informatik / ","FME, Prof. Dr. B. Schraven ",deutsch ,FIN: B.Sc. INF - WPF Informatik ,Vorlesung; Übung ,"Präsenszeit: 56 Stunden. Bearbeitung Übungsaufgaben,  Lesen ", , ,"Fachbereichen wie Werkstofftechnik, Fertigungslehre, ",vermittelt. ,Schein ,"Overhead, Beamer ","Mertens, P. (2005): Integrierte Informationsverarbeitung 1. 15. "
Innovative Mess-und Prüftechnik ,Intelligent Data Analysis , ,IIR , , ,M.Sc. ab 1. Semester , ,Algorithmische Geometrie ,Gunter Saake ,deutsch ,FIN: B.Sc. INGINF - WPF Informatik ,Vorlesung; Übung ,"wissenschaftlicher Texte, Nachbereitung der ",Voraussetzungen nach ,Software Engineering ,"Technische Mechanik, Maschinenelemente ", ,Bearbeitung von zwei Drittel der Übungsaufgaben , ,"Auflage, Berlin u. a. "
Integrierte Produktentwicklung 1 ,Intelligent Systems , , , , ,B.Sc. ab 5. Semester; M.Sc. ab 1. Semester ,Wintersemester ,Professur für Theoretische Informatik / Algorithmische ,Dr.-Ing. Christian Teutsch (Fraunhofer IFF) ,deutsch ,FIN: B.Sc. WIF - WPF Gestalten & Anwenden ,Vorlesung; Übung ,"Präsensveranstaltung,  Vorbereitung Prüfung = 94 Stunden. ",Prüfungsordnung: , , , ,Erfolgreiche Präsentation in den Übungen , , 
Intelligent Data Analysis ,Web and Text Mining , ,ITP , , ,M.Sc. ab 1. Semester ,jedes Semester ,Geometrie ,"HD Dipl.Designer, Dipl.-Ing. Thomas Gatzky ",--- ,FIN: M.Sc. VC - Visual Computing - Pflichtfächer ,Vorlesung; Übung , , , , ,Methodisch unterstütztes Entwerfen von Produkten und ,Erfolgreiche Teilnahme am mündlichen Kolloquium , , 
Intelligente Systeme ,Interactive Systems , ,ICG , , ,B.Sc. ab 1. Semester ,Wintersemester ,"HD Dipl.Designer, Dipl.-Ing. Thomas Gatzky ",FIN/ISG; Dr. Henry Herper ,englisch , ,Vorlesung; Übung ,Präsenzzeiten: ,6 ,Grundlagen der Fertigungslehre sowie der Automatisierungs- ,Lernziele und erworbene Kompetenzen ,Umweltsituationen , , , 
Intelligente Techniken: Web and Text Mining ,Interactive Information Retrieval , ,ICSE , , ,M.Sc. ab 2. Semester ,Wintersemester ,Professur für Theoretische Informatik ,Prof. Dr.-Ing. Andreas Nürnberger ,englisch , ,Vorlesung; Übung ,2 SWS Vorlesung , ,und Steuerungstechnik von Werkzeugmaschinen ,Kenntnisse zu Produkt- und Umweltdesignprozessen ,Klassische und computerunterstützte Visualisierungstechniken , , , 
Interaktive Systeme ,Intercultural Workshop: Studying at OvGU - Differences and , , , , ,M.Sc. ab 1. Semester ,Sommersemester ,Prof. Dr. Benjamin Noack ,Professur für Hochfrequenz- und Kommunikationstechnik ,englisch ,FIN: M.Sc. CV - Bereich Computervisualistik ,Blockveranstaltung ,1 SWS Übung und Praktikum ,Voraussetzungen nach , ,Fähigkeiten und Fertigkeiten zum zeichnerischen und ,Erlangung von Fertigkeiten bei der Anwendung der CAID-,Klausur (60 Minuten) , , 
Interaktives Information Retrieval ,Similarities in Turkish and German higher education , ,IDL , , ,M.Sc. ab 1. Semester ,Wintersemester ,Professur für Theoretische Informatik / Algorithmische ,Prof. Myra Spiliopoulou ,englisch ,FIN: M.Sc. INF - Bereich Informatik ,Projekt ,Selbstständiges Arbeiten: ,Prüfungsordnung: , ,computerunterstützten Designentwurf ,Software Alias/Wavefront Studio Tools , , , 
Intercultural Workshop: Studying at OvGU - Differences and ,Interdisciplinary Team Project , ,ItR , , ,B.Sc. ab 4. Semester ,Sommersemester ,Geometrie ,Dr.-Ing. Steffen Oeltze-Jafra ,englisch ,FIN: M.Sc. INGINF - Bereich Informatik ,Vorlesung; Übung ,"Übungsaufgaben, Prüfungsvorbereitung ", ,Einführung in die Logik ,Kompetenzen zu entwurfsmethodischen Vorgehensweisen im , , , ,Seite 50   Inhaltsverzeichnis 
Similarities in Turkish and German higher education ,Introduction to Computer Graphics , ,ItS , , ,B.Sc. ab 5. Semester; M.Sc. ab 1. Semester ,Wintersemester ,Professur für Theoretische Informatik / Algorithmische ,Hon. Prof. Dr. Alexander Zeier Veranstaltungsort: Magdeburg ,englisch ,FIN: M.Sc. VC - Visual Computing - Wahlpflichtfächer ,Vorlesung; Übung; Tutorium ,120 h (42 h Präsenzzeit + 78 h selbstständige Arbeit) ,5 , ,Industriedesign in interdisziplinären Teams , ,Seite 84   Inhaltsverzeichnis , ,     
Interdisziplinäres Teamprojekt ,Introduction to Computer Science for Engineers , ,ISEE , , ,B.Sc. ab 3. Semester ,Sommersemester ,Geometrie ,Hon. Prof. Dr. Alexander Zeier Veranstaltungsort: Kronberg ,englisch , ,Vorlesung; Übung , , , , ,Seite 47   Inhaltsverzeichnis ,     , , 
Introduction to Computer Graphics ,Introduction to Computer Vision , , , , ,B.Sc. ab 3. Semester; M.Sc. ab 1. Semester ,Sommersemester ,Professur für Technische Informatik ,(Frankfurt am Main) ,deutsch , ,Vorlesung; Übung , ,Voraussetzungen nach ,Advanced Fluid Dynamics , ,     , ,"Overhead, Beamer ", 
Introduction to Computer Science for Engineers ,Introduction to Deep Learning , ,ITOM , , ,M.Sc. ab 1. Semester , ,Professur für Technische Informatik ,Hon. Prof. Dr. Alexander Zeier Veranstaltungsort: Magdeburg ,englisch ,FIN: M.Sc. CV - Schlüssel- und Methodenkompetenzen ,Vorlesung; Übung ,"Präsenzzeiten: wöchentliche Vorlesung 2 SWS, wöchentliche ",Prüfungsordnung: , ,Schaffung eines Grundverständnisses für Funktionen und , , , ,"Ian Goodfellow, Yoshua Bengio & Aaron Courville: “Deep "
Introduction to Computer Vision ,Introduction to Robotics , ,IFOR , , ,B.Sc. ab 6. Semester ,jedes Semester ,Prof. Dr. Michael Friebe ,"Prof. Molitor, FMB-IFQ ",deutsch ,FIN: M.Sc. INF - Schlüssel- und Methodenkompetenzen ,Vorlesung; Übung ,"Übun-gen 1 SWS, ", , ,Zusammenhänge in betrieblichen Anwendungssystemen entlang ,Komplexe Visualisierungen mit Schnittstellen zu CAD-Systemen , , ,"Learning”, MIT Press, 2016. "
Introduction to Deep Learning ,Introduction to Simulation , ,IT-PM , , ,M.Sc. ab 1. Semester ,Wintersemester ,Prof. Dr.-Ing. Thilo Pionteck (FEIT-IIKT) ,Professur für Maschinenbauinformatik ,deutsch ,FIN: M.Sc. INGINF - Schlüssel- und Methodenkompetenzen ,Vorlesung; Übung ,"Selbständiges Arbeiten: Nachbereitung der Vorlesung, Lösung ",Bachelor: 5 ,Kenntnisse der Grundzüge der Algorithmischen Geometrie ,der Wertschöpfungskette ,und zur Bildgestaltung ,schriftliche Prüfung , , 
Introduction to Robotics ,Introduction to Software Engineering for Engineers , ,IT-PM , , ,B.Sc. ab 3. Semester ,Wintersemester ,Studienfachberater INGINF ,Prof. Dr. Rudolf Kruse ,deutsch ,FIN: M.Sc. WIF - Schlüssel- und Methodenkompetenzen ,Vorlesung; Übung ,der Übungsaufgaben und Prüfungsvorbereitung ,Master: 6 , ,Praktische Erfahrungen mit prozessorientierter ,Komplexer Entwurf von Produkten-Mitarbeit in einem inter-, , , 
Introduction to Simulation ,Investition & Finanzierung , ,ITS-CPS , , ,B.Sc. ab 3. Semester ,Wintersemester ,"Prof. Dr. Jesko L. Verhey, FME weitere Lehrende: Prof. H. ",Prof. Dr.-Ing. Sanaz Mostaghim ,englisch , ,Vorlesung; Übung ,3 SWS = 150h (42h Präsenzzeit +108h selbständige Arbeit) , , ,Informationsverarbeitung an einem konkreten ERP-System ,disziplinären Team (IPE-Projekt/Designprojekt) , , , 
Introduction to Software Engineering for Engineers ,IT Operations Management , , , , ,B.Sc. ab 3. Semester ,Sommersemester ,Rotten-gruber ,Prof. Myra Spiliopoulou ,englisch , ,Vorlesung; Übung , ,Voraussetzungen nach , , , ,Prüfung: mündlich (30 min) ,Powerpoint , 
Investition & Finanzierung ,IT-Forensics , , , , ,M.Sc. ab 1. Semester ,Sommersemester ,Deml ,Prof. Dr. Bernhard Preim ,deutsch ,FIN: B.Sc. CV - WPF Informatik ,Vorlesung; Übung , ,Prüfungsordnung: , ,• confidently apply DL techniques to develop a solution for a ,Grundlagen der Wertschöpfungskette nach Porter , , , 
IT Operations Management ,IT Project Management , , , , ,M.Sc. ab 3./ 4. Semester ,Sommersemester ,Professur für Angew. Informatik / Wirtschaftsinformatik II – ,Dr.-Ing. Tatiana Gossen ,deutsch ,FIN: B.Sc. CV - Schlüssel- und Methodenkompetenzen - ,Vorlesung; Übung ,Präsenzzeiten: , ,Computergraphik I Mathematik I bis III ,given problem ,Prozesse der betrieblichen InformationsverarbeitungForschung , , , 
IT-Forensik ,IT Project Management (dual) , , , , ,M.Sc. ab 3./ 4. Semester , ,KMD ,Prof. Mesut Günes ,deutsch ,Wissenschaftliches Seminar ,Vorlesung; Projekt ,Vorlesung: 2 SWS ,3 , ,• follow recent DL publications and critically assess their ,und EntwicklungVertriebEinkaufProduktionLogistikFallstudien zu ,Seite 88   Inhaltsverzeichnis , ,Seite 52   Inhaltsverzeichnis 
IT-Projektmanagement ,IT-Security of Cyber-Physical Systems , ,KE I , , ,M.Sc. ab 1. Semester ,Wintersemester ,Prof. Dr.-Ing. Rolf Findeisen (FEIT-IFAT) / Dr.-Ing. Jürgen Ihlow ,angebotsspezifisch ,deutsch ,FIN: B.Sc. INF - WPF Informatik ,Vorlesung; Übung ,Übung: 1 SWS (14-tägig) , , ,contributions ,komplexen Geschäftsprozessen mit SAP R/3 Enterprise ,     , ,     
IT-Projektmanagement (dual) ,Knowledge Engineering and Digital Humanities , ,KE II , , ,M.Sc. ab 2. Semester ,Sommersemester ,(FEIT-IFAT) ,Prof. Dr. Holger Theisel ,deutsch ,FIN: B.Sc. INF - Schlüssel- und Methodenkompetenzen - ,Seminar ,Selbstständiges Arbeiten: ,Voraussetzungen nach , ,• formulate hypotheses and design & conduct DL experiments , , , , 
IT-Security of Cyber-Physical Systems ,Cognitive Systems , , , , ,B.Sc. ab 3. Semester ,Sommersemester ,Professur für Simulation ,Dr.-Ing. Christian Braune ,deutsch ,Wissenschaftliches Seminar ,Vorlesung; Übung ,Nachbereitung der Vorlesung ,Prüfungsordnung: , ,to validate them , , , ,Siehe www.sim.ovgu.de 
Knowledge Engineering and Digital Humanities ,Displacement Pumps and Compressors , ,PLM , , ,B.Sc. ab 4. Semester , ,"FME, Prof. Dr. B. Schraven ",Prof. Dr. Klaus Tönnies ,deutsch ,FIN: B.Sc. INGINF - WPF Informatik ,Vorlesung; Übung ,"Vor- und Nachbereitung der Inhalte der Übung, Musterlösungen ", , ,• document progress & design decisions for reproducibility and ,Seite 49   Inhaltsverzeichnis , , , 
Kognitive Systeme ,Kommunikationstechnik für Digital Engineering , ,LR NL , , ,B.Sc. ab 5. Semester , ,Professur für Praktische Informatik / Datenbanken und ,Prof. Dr. Sebastian Stober ,deutsch ,FIN: B.Sc. INGINF - Schlüssel- und Methodenkompetenzen - ,Vorlesung; Übung ,verfügbar ,5 , ,transparency ,     ,"Prüfung: mündlich 30 Minuten, Erforderliche ", , 
Kolbenpumpen und -kompressoren ,Konstruktionselemente I , ,LGM , , ,M.Sc. ab 1. Semester ,Sommersemester ,Informationssysteme ,Dr. Ch. Steup ,englisch ,Wissenschaftliches Seminar ,Vorlesung; Übung ,120 h (42 h Präsenzzeit + 78 h selbstständige Arbeit) , ,Vorlesung Visualisierung , , ,Prüfungsvorleistungen werden in der Vorlesung bekannt , , 
Kommunikationstechnik für Digital Engineering ,Konstruktionselemente II , ,L-Systeme , , ,B.Sc. ab 6. Semester , ,Professur Visualization ,Graham Horton ,deutsch ,FIN: B.Sc. WIF - WPF Gestalten & Anwenden ,Vorlesung; Übung , ,Voraussetzungen nach , ,Die Teilnehmer kennen Markov-Ketten sowie ausgewählte , ,gegeben. , , 
Konstruktionselemente I ,mechanical engineering design , ,LiquiD , , ,B.Sc. ab 6. Semester; M.Sc. ab 1. Semester ,Sommersemester ,"HD Dipl.Designer, Dipl.-Ing. Thomas Gatzky ",Dr.-Ing. Christian Braune ,deutsch ,FIN: B.Sc. WIF - Schlüssel- und Methodenkompetenzen - ,Vorlesung; Übung; Tutorien , ,Prüfungsordnung: , ,Anwendungen und Lösungsverfahren ,• artificial neural network fundamentals (gradient descent & , , , 
Konstruktionselemente II ,"Konzepte, Methoden und Werkzeuge für das Product Lifecycle ", ,Logik , , ,B.Sc. ab 5. Semester ,Sommersemester ,FIN/ISG; Dr. Henry Herper ,Professur für Finanzierung und Banken ,deutsch ,Wissenschaftliches Seminar ,Praktikum ,10 Wochen bzw. bei Erstellung in einer integrierten Praxiszeit 20 , , ,Die Teilnehmer kennen nicht-Markovsche stochastische ,"backpropagation, activation functions) ", , , 
Konstruktionstechnik I ,Management , ,Logik-WInf , , ,B.Sc. ab 5. Semester; M.Sc. ab 1. Semester ,Sommersemester ,Prof. Dr.-Ing. Andreas Nürnberger ,Dr.Ing. Naoum Jamous ,deutsch ,FIN: M.Sc. CV - Bereich Informatik ,Vorlesung; Übung ,Wochen ,5 , ,Prozesse und können diese auf unterschiedliche Weise , ,"Prüfung: Hausarbeit, Internetprojekt, Videoprojekt ","Powerpoint, Video, Softwaredemonstrationen ",Seite 54   Inhaltsverzeichnis 
"Konzepte, Methoden und Werkzeuge für das Product Lifecycle ",Lab Rotation in neurobiological learning research , ,Logik2 , , ,B.Sc. ab 1. Semester ,Wintersemester ,Professur für Hochfrequenz- und Kommunikationstechnik ,"Prof. Dr.-Ing. Jana Dittmann, FIN-ITI ",deutsch ,FIN: M.Sc. INF - Bereich Informatik ,Vorlesung ,eigenständige Erstellung einer wiss. Arbeit + Kolloquium , ,Modul Einführung in die Informatik ,modellieren und simulieren , , , ,     
